#BioSample,Organism group,Scientific name,Antibiotic,Resistance phenotype,Measurement sign,MIC (mg/L)
SAMN26309256,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0
SAMN05194542,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN11953915,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0
SAMN26308774,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0
SAMN13836993,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,
SAMN55283950,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0
SAMN10620129,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN47623359,E.coli and Shigella,Escherichia coli O187:H4,ciprofloxacin,resistant,==,0.12
SAMN31087199,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.12
SAMN31087338,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.25
SAMN04096291,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN43694180,E.coli and Shigella,Shigella flexneri,ciprofloxacin,resistant,==,
SAMN36726672,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN43694157,E.coli and Shigella,Shigella sonnei,ciprofloxacin,resistant,==,
SAMN43694165,E.coli and Shigella,Shigella flexneri,ciprofloxacin,resistant,==,
SAMN07332520,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN31087289,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,==,0.5
SAMN36729021,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN31087090,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,8.0
SAMN26304556,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,2.0
SAMN37516941,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN05774075,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN07450847,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0
SAMN47623384,E.coli and Shigella,"Escherichia coli O8,155:H11",ciprofloxacin,resistant,==,8.0
