Assembly,qnr,aac6,oqx,qep,gyrA_mut,parC_mut,mutation_count,#BioSample,Organism group,Scientific name,Antibiotic,Resistance phenotype,Measurement sign,MIC (mg/L),MIC,Label
GCA_003774345.1,0,1,0,0,0,0,0,SAMN10221588,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003775245.1,0,0,0,0,0,0,0,SAMN10220963,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003791245.1,0,1,0,0,0,0,1,SAMN10220975,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003794355.1,0,0,0,0,0,0,0,SAMN10221367,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_003794615.1,0,1,0,0,0,0,0,SAMN10221451,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_004281715.1,0,0,0,0,0,0,0,SAMN10221231,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_004282155.1,0,1,0,0,1,1,4,SAMN10221040,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>,4.0,4.0,1
GCA_012071865.1,0,1,0,0,0,0,1,SAMN10221657,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072605.1,0,0,0,0,0,0,0,SAMN10221642,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072625.1,0,0,0,0,0,0,1,SAMN10221222,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012072985.1,0,0,0,0,0,0,0,SAMN10221341,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012073165.1,0,0,0,0,0,0,0,SAMN10221051,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012073945.1,0,0,0,0,0,0,0,SAMN10221406,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012074225.1,0,0,0,0,0,0,1,SAMN10221474,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012075545.1,0,0,0,0,0,0,0,SAMN10221560,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012292845.2,0,0,0,0,0,0,1,SAMN11960653,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012292965.1,0,0,0,0,0,0,1,SAMN11960651,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012359855.1,0,0,0,0,0,0,0,SAMN11372848,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,0.03,0.03,0
GCA_012375135.1,0,0,0,0,0,0,0,SAMN11372930,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012375455.1,0,0,0,0,0,0,1,SAMN11372905,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012375495.1,0,0,0,0,0,0,1,SAMN11372906,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012383375.1,0,0,0,0,0,0,2,SAMN11854358,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012432675.1,0,0,0,0,1,1,6,SAMN07450847,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012442225.1,0,1,0,0,1,1,7,SAMN07332520,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012442945.1,0,0,0,0,1,1,5,SAMN07325894,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012451865.1,0,0,0,0,0,0,0,SAMN12846495,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
GCA_012479855.1,0,0,0,0,1,1,5,SAMN06007776,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012480115.3,0,0,0,0,0,0,0,SAMN06015667,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.25,0.25,0
GCA_012480135.1,1,0,0,0,0,0,0,SAMN06754732,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,==,1.0,1.0,1
GCA_012507815.1,0,1,0,0,1,1,7,SAMN06007769,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012586815.1,0,1,0,0,1,1,7,SAMN05774075,E.coli and Shigella,Escherichia coli,ciprofloxacin,resistant,>=,4.0,4.0,1
GCA_012599895.1,0,0,0,0,0,0,0,SAMN12943742,E.coli and Shigella,Escherichia coli,ciprofloxacin,susceptible,<=,0.015,0.015,0
